MTS25	Tensile Strength
0.3415	261.2256
0.3415	261.4843
0.3425	262.2288
0.3441	263.1831
0.3454	264.0905
0.3457	264.3837
0.3471	265.4526
0.3484	266.0712
0.3491	266.4771
0.3507	268.1935
0.351	268.2777
0.3516	268.5782
0.3529	269.3061
0.3545	270.3915
0.3552	270.8301
0.356	271.6548
0.3573	272.4443
0.3583	273.1192
0.3594	274.0804
0.3607	274.614
0.3611	274.953
0.362	275.6664
0.3634	276.7722
0.3648	277.6126
0.3653	277.8859
0.3664	278.6384
0.3678	279.7434
0.3685	280.3426
0.3701	281.1347
0.3707	281.5108
0.3712	281.9813
0.3724	282.5739
0.374	284.0681
0.3748	284.4544
0.3756	284.9517
0.3771	286.1753
0.3781	286.6508
0.3791	287.3926
0.3802	288.2637
0.3807	288.4339
0.3816	289.0715
0.3832	290.295
0.3846	290.885
0.385	291.3286
0.3862	292.5057
0.3875	293.0738
0.3885	293.5402
0.3896	294.6248
0.3906	294.9377
0.3911	295.6142
0.3923	296.2055
0.3937	297.2899
0.3948	298.1839
0.3955	298.7136
0.3968	299.1487
0.3979	300.0629
0.3989	300.8997
0.4006	301.844
0.401	301.9305
0.4017	302.4889
0.4033	303.4395
0.4045	304.5929
0.4053	304.6363
0.4065	305.4201
0.408	306.8386
0.4087	306.9995
0.4104	308.0723
0.4111	308.51
0.4115	308.8041
0.4126	309.6931
0.4142	310.7229
0.4155	311.2064
0.4161	312.0038
0.4175	312.781
0.4186	313.2594
0.4195	314.0647
0.4213	315.1823
0.4216	315.2423
0.4224	315.8668
0.4238	316.8667
0.4253	317.8183
0.4262	318.1913
0.427	318.7741
0.4286	319.854
0.4294	320.3923
0.431	321.2401
0.4318	321.948
0.4324	322.3305
0.4335	323.0809
0.4352	323.8518
0.4362	324.7922
0.4371	325.0791
0.4382	325.8836
0.4397	326.7861
0.4407	327.1747
0.4426	328.6559
0.4428	328.6416
0.4437	329.1454
0.445	329.8532
0.4466	331.1426
0.4473	331.4284
0.4482	331.8477
