MTS25	Tensile Strength
0.6716	319.1606
0.6762	319.7708
0.6791	319.318
0.6821	319.8372
0.6863	320.2602
0.6909	321.0424
0.6941	320.8587
0.6981	321.5066
0.7025	322.1137
0.7059	322.156
0.7108	322.509
0.7143	322.417
0.7173	322.439
0.7211	322.6079
0.7253	323.2254
0.7295	323.3637
0.7331	323.4948
0.7374	324.1346
0.7414	324.1133
0.7454	324.3275
0.7503	324.8632
0.7532	324.3492
0.7566	324.7559
0.7608	325.4879
0.7656	326.071
0.7691	325.8908
0.7732	326.0827
0.7778	326.0976
0.7815	326.0949
0.7862	326.3237
0.7901	326.2004
0.7932	326.168
0.7971	326.624
0.8019	327.3446
0.8061	327.3556
0.8096	327.4005
0.8141	328.0187
0.8183	328.2674
0.8226	328.515
0.8277	328.5297
0.8309	328.5037
0.834	328.5248
0.8387	328.8015
0.8434	329.3876
0.8472	329.1133
0.851	329.4026
0.856	330.0587
0.8601	330.0164
0.8653	330.3626
0.8691	330.0826
0.8725	330.0032
0.8763	330.3014
0.8809	330.6498
0.8853	330.6496
0.8889	330.6397
0.8931	330.8396
0.8978	331.1861
0.9025	331.4149
0.9075	331.5298
0.9108	331.0574
0.9144	331.2584
0.9186	331.7851
0.9238	332.1465
0.9274	332.0573
0.9315	332.1043
0.9363	332.5178
0.9404	332.3421
0.9454	333.0297
0.9495	332.7203
0.9528	332.4154
0.9568	333.0039
0.9617	333.7835
0.9662	333.7709
0.97	333.6208
0.9745	334.2557
0.9793	334.3444
0.9836	334.4436
0.9887	334.5882
0.992	334.3381
0.9956	334.4293
1	334.5933
1.0049	334.6009
1.0092	334.5922
1.0131	334.5939
1.0182	334.7778
1.0221	334.6349
1.0271	334.9479
1.0316	334.7767
1.0348	334.6494
1.039	334.8089
1.0436	335.3592
1.0484	335.4955
1.052	335.2707
1.0566	335.6966
1.0613	335.8067
1.0655	335.836
1.0712	336.8088
1.0747	335.729
1.0782	335.7785
1.0827	336.5945
1.0878	336.9999
1.0918	336.7752
1.0958	336.8415
1.101	337.1735
1.1049	337.0056
1.1099	337.4517
1.1147	337.2252
1.118	337.0102
1.1222	337.127
1.127	337.7123
1.1318	337.7581
1.1356	337.6354
1.1398	337.815
1.145	338.0833
1.149	338.0793
1.1549	338.5049
1.1584	337.9078
1.1618	337.8848
1.1664	338.3883
1.1714	338.5685
1.1755	338.4693
1.1797	338.4933
1.1849	338.7332
1.1888	338.5456
1.1943	338.9256
1.1991	338.7491
1.2023	338.5204
1.2063	338.6335
1.2112	338.9818
1.216	339.0744
1.2198	338.9318
1.2243	339.0849
1.2295	339.3458
1.2336	339.2815
1.2393	339.8685
1.243	339.1282
1.2466	339.0696
1.2509	339.4632
1.2563	340.1507
1.2605	339.7386
1.2645	339.7768
1.2694	340.3711
1.2735	339.9717
1.2788	340.5884
1.2838	340.4901
1.2871	339.9056
1.2912	340.1737
1.2962	340.604
1.3012	340.6068
1.3049	340.5775
1.3093	340.6
1.3145	340.6451
1.3184	340.6141
1.3244	341.3309
1.3285	340.5879
1.3319	340.6025
1.3362	340.6788
1.3416	341.4758
1.3457	340.9853
1.35	341.1234
1.3551	341.5815
1.359	341.306
1.3642	341.9109
1.3694	341.8145
1.3729	341.1821
1.3767	341.3133
1.3817	342.089
1.3868	342.3345
1.3906	341.8997
1.3953	342.2302
1.4001	342.3472
1.4042	342.2556
1.41	342.9433
1.414	342.2949
1.4175	342.0403
1.422	342.5104
1.4277	342.9957
1.4319	342.7592
1.436	342.7557
1.4408	342.9899
1.4452	342.9102
1.4501	343.0201
1.4555	343.0266
1.4593	342.8557
1.463	342.9172
1.468	343.0293
1.4732	343.0564
1.477	343.0256
1.4818	343.0448
1.4868	343.0656
1.4907	343.0421
1.4967	343.3462
1.5007	343.0432
1.5043	343.0295
1.5088	343.0678
1.5139	343.3466
1.5184	343.1665
1.5227	343.1875
1.528	343.679
1.532	343.2344
1.5369	343.6279
1.5425	343.9044
1.5457	343.1679
1.5498	343.2579
1.5547	343.8943
1.56	344.193
1.5638	343.7936
1.5685	343.9813
1.5735	344.174
1.5776	343.9929
1.5832	344.7282
1.5875	344.0472
1.5911	343.8677
1.5954	344.1516
1.6005	344.7737
1.6053	344.6669
1.6093	344.5475
1.6144	344.8886
1.6188	344.7449
1.6236	344.8854
1.6291	344.9942
1.6326	344.5876
1.6366	344.642
1.6414	344.9578
1.6467	345.1253
1.6508	344.9471
1.6552	345.002
1.6605	345.1924
1.6649	345.0293
1.6703	345.5275
1.6745	345.0256
1.6781	344.9333
1.6825	345.0594
1.6874	345.5901
1.6924	345.4664
1.6964	345.2512
1.7012	345.778
1.7062	345.7408
1.7108	345.9234
1.7163	346.1476
1.7199	345.3337
1.7237	345.3471
1.7285	346.0377
1.7336	346.2746
1.7376	345.9352
1.742	346.0394
1.7473	346.4683
1.7518	346.2884
1.7574	346.5966
1.7617	346.2051
1.7652	345.9461
1.7694	346.168
1.7745	346.592
1.7793	346.5064
1.7833	346.3709
1.7881	346.5692
1.7931	346.6372
1.7981	346.6746
1.8035	346.6957
1.8071	346.4474
1.8108	346.4601
1.8155	346.6388
1.8213	346.8322
1.825	346.6344
1.8292	346.6325
1.8345	346.8642
1.8392	346.7554
1.8443	346.9757
1.8487	346.777
1.8524	346.6456
1.8568	346.7068
1.8618	346.9957
1.8666	346.9466
1.8706	346.8237
1.8754	347.0552
1.8803	347.0674
1.885	347.1132
1.8906	347.299
1.8942	346.868
1.8979	346.8531
1.9027	347.0979
1.9077	347.3591
1.9121	347.1307
1.9163	347.1259
1.9219	347.8417
1.9258	347.1936
1.931	347.8728
1.9358	347.5386
1.9395	347.11
1.9439	347.247
1.949	347.9543
1.9538	347.9326
1.9579	347.547
1.9628	348.0332
1.9678	348.1533
1.972	348.0415
1.9781	348.7726
1.9818	347.7532
1.9857	347.5669
1.9907	348.188
1.9958	348.6053
2.0001	348.2076
2.0043	348.1605
2.0098	348.9296
2.0141	348.3505
2.0194	348.9512
2.0241	348.663
2.0277	348.1317
2.0321	348.3322
2.0373	348.9405
2.0423	348.9277
2.0462	348.6767
2.0507	348.8741
2.0562	349.0177
2.0605	348.9925
2.0664	349.2238
2.0699	348.7078
2.0739	348.5934
2.0784	348.9879
2.084	349.1489
2.0882	349.0183
2.0924	349.0297
2.0977	349.3413
2.102	349.0464
2.1076	349.582
2.1125	349.2133
2.116	349.008
2.1202	349.0406
2.1254	349.3859
2.1304	349.5058
2.1345	349.1669
2.1392	349.3707
2.1445	349.7095
2.1488	349.5262
2.1549	350.1155
2.1589	349.2491
2.1625	349.112
2.167	349.4668
2.1726	350.0446
2.1769	349.6712
2.1811	349.6498
2.1863	350.0756
2.1905	349.8052
2.1962	350.2567
2.2012	350.0757
2.2047	349.5358
2.209	349.7126
2.2141	350.1631
2.2194	350.2307
2.2231	349.986
2.2277	350.0507
2.2329	350.3391
2.2373	350.2011
2.2432	350.7425
2.2471	350.0701
2.251	349.9389
2.2555	350.1855
2.2613	350.7177
2.2656	350.3405
2.2699	350.3798
2.275	350.7178
2.2794	350.386
2.2846	350.8157
2.29	350.7659
2.2936	350.2517
2.2975	350.2997
2.3029	350.8054
2.3081	350.8839
2.3123	350.6495
2.317	350.8179
2.3219	350.8358
2.3265	350.7696
2.3325	350.9832
2.3364	350.7541
2.3399	350.4971
2.3447	350.824
2.3501	350.9701
2.3544	350.8898
2.3588	350.8849
2.364	350.9615
2.3684	350.9189
2.3734	350.9855
2.3791	351.0023
2.3826	350.8491
2.3865	350.8631
2.3916	350.9785
2.3968	351.0323
2.401	350.9545
2.4058	350.991
2.4109	351.0413
2.4153	350.9733
2.4212	351.1372
2.4255	350.9862
2.4292	350.9365
2.4337	350.9979
2.4389	351.0806
2.4439	351.052
2.4482	351.0424
2.4534	351.1042
2.4578	351.0437
2.4626	351.0937
2.4682	351.2052
2.4718	351.0186
2.4761	351.0247
2.481	351.1146
2.4866	351.33
2.4908	351.0778
2.4954	351.1254
2.5006	351.2287
2.5049	351.1087
2.5108	351.5793
2.5149	351.1149
2.5186	351.0599
2.5233	351.122
2.5283	351.4126
2.5333	351.3581
2.5376	351.2307
2.5428	351.5948
2.5473	351.3391
2.5524	351.5356
2.5579	351.7092
2.5612	351.1569
2.5653	351.1621
2.5704	351.5311
2.5757	351.8331
2.5799	351.4958
2.5847	351.6367
2.59	351.8364
2.5942	351.642
2.5998	351.9686
2.6041	351.6503
2.608	351.3685
2.6126	351.6268
2.6177	351.9433
2.6225	351.8718
2.6266	351.7036
2.6315	351.9338
2.6365	351.9238
2.6413	352.0356
2.6467	352.4142
2.6506	351.7325
2.6545	351.6884
2.6596	352.0315
2.665	352.4405
2.669	351.9062
2.6734	351.9991
2.6786	352.611
2.6834	352.3598
2.6888	352.8697
2.6932	352.1052
2.6969	351.8057
2.7011	352.0158
2.7065	352.7138
2.7113	352.5588
2.7154	352.3095
2.7202	352.6783
2.7255	352.8098
2.7304	352.8862
2.7359	352.9601
2.7395	352.2404
2.7434	352.2211
2.7484	352.6891
2.7538	353.0085
2.7578	352.6872
2.7621	352.6185
2.7676	353.0401
2.772	352.9205
2.7775	353.106
2.7822	352.9505
2.7859	352.6058
2.7903	352.829
2.7955	353.0691
2.8004	353.0265
2.8044	352.9237
2.8093	353.0963
2.8144	353.1161
2.8193	353.1778
2.825	353.4936
2.8289	352.9131
2.8326	352.8794
2.8375	353.0716
2.8426	353.3771
2.8469	353.1062
2.8514	353.0684
2.857	353.797
2.8612	353.1173
2.8665	353.7496
2.8714	353.4277
2.875	353.0107
2.8794	353.1518
2.8845	353.6496
2.8894	353.7012
2.8936	353.3452
2.8986	353.7118
2.9036	353.8085
2.9079	353.6392
2.9141	354.453
2.9177	353.3536
2.9215	353.1891
2.9263	353.742
2.9316	354.2527
2.936	353.7776
2.9402	353.6678
2.946	354.4967
2.9501	353.8724
2.9556	354.6034
2.9605	354.1885
2.964	353.4766
2.9682	353.6828
2.9735	354.3668
2.9783	354.3877
2.9825	354.022
2.9871	354.2804
2.9924	354.546
2.9968	354.4207
3.0031	354.9112
3.0066	354.0705
3.0103	353.8317
3.015	354.3571
3.0205	354.7894
3.0246	354.3741
3.0288	354.4008
3.0343	354.8572
3.0386	354.5651
3.0441	354.9535
3.0491	354.7693
3.0525	354.2532
3.0569	354.3736
3.0619	354.8201
3.067	354.8634
3.071	354.6481
3.0757	354.755
3.0809	354.9193
3.085	354.8397
3.0912	355.2283
3.0949	354.709
3.0989	354.5181
3.1034	354.7931
3.109	355.1041
3.1132	354.8846
3.1177	354.8606
3.1229	355.1123
3.1272	354.8948
3.1325	355.2393
3.1374	355.115
3.1411	354.7744
3.1453	354.8317
3.1505	355.1338
3.1558	355.1917
3.1596	354.9692
3.1643	355.026
3.1697	355.2609
3.1739	355.1418
3.18	355.5313
3.1838	355.0502
3.1878	354.8909
3.1922	355.056
3.1977	355.4418
3.2019	355.1708
3.2063	355.1904
3.2116	355.4582
3.2158	355.2004
3.2212	355.5325
3.2264	355.4515
3.23	355.0478
3.2339	355.039
3.2392	355.4414
3.2444	355.5411
3.2483	355.3402
3.2532	355.4638
3.2581	355.4918
3.2624	355.4068
3.2684	355.7566
3.2725	355.4067
3.2762	355.1867
3.281	355.446
3.2867	355.7121
3.291	355.5233
3.2955	355.5039
3.3006	355.6585
3.3049	355.5264
3.31	355.6807
3.3156	355.7851
3.3192	355.4435
3.3233	355.43
3.3286	355.6774
3.3338	355.7737
3.338	355.5531
3.3426	355.6396
3.3479	355.774
3.3519	355.5977
3.358	356.1165
3.3623	355.6317
3.3658	355.4719
3.3704	355.6212
3.3758	355.8848
3.3806	355.7891
3.3849	355.7518
3.3904	355.995
3.3947	355.7336
3.3997	355.8897
3.4052	356.0816
3.4088	355.6124
3.413	355.6394
3.4179	355.8952
3.4233	356.1674
3.4273	355.8089
3.4323	355.9325
3.4373	356.0642
3.4416	355.875
3.4474	356.4023
3.4518	355.9127
3.4556	355.7157
3.4603	355.9088
3.4653	356.1846
3.4703	356.1516
