MTS25	Tensile stress
0.5679	381.3957
0.5697	382.6171
0.5715	383.299
0.5742	384.1027
0.5751	384.2366
0.5768	384.9809
0.5789	386.4905
0.5814	388.1283
0.5829	388.3715
0.5847	388.6999
0.5873	390.2871
0.5886	390.7575
0.5914	392.2091
0.593	392.8673
0.5941	393.1296
0.596	393.9308
0.5987	395.0992
0.6005	395.9774
0.6021	396.4932
0.6044	397.3996
0.6066	398.7421
0.6087	399.6862
0.6113	400.5371
0.6123	400.579
0.6139	401.031
0.6163	402.0836
0.6191	403.485
0.6207	404.1091
0.6226	404.8581
0.6255	405.7078
0.627	406.0709
0.63	407.6378
0.632	408.1223
0.6333	408.5355
0.6354	409.0369
0.6382	410.4311
0.6405	411.2696
0.6422	411.6633
0.6446	412.5192
0.6471	413.1564
0.6493	414.0871
0.6524	415.5408
0.6537	415.534
0.6555	415.8246
0.658	416.7787
0.661	417.574
0.663	417.6956
0.6651	418.5403
0.668	420.0034
0.6701	420.2603
0.6734	421.348
0.6758	421.6871
0.6773	421.8716
0.6795	422.5466
0.6828	423.9816
0.6853	424.6295
0.6875	424.8757
0.6902	425.5956
0.6928	426.1009
0.6952	426.6234
0.699	427.8807
0.7008	427.8126
0.7028	428.0008
0.7058	428.9718
0.7091	429.799
0.7115	429.9991
0.7139	430.4396
0.7172	431.8176
0.7195	432.0082
0.7233	433.0875
0.7263	433.3401
0.7283	433.3062
0.731	433.5448
0.7346	434.6148
0.7377	435.1374
0.7401	435.2843
0.7436	436.2831
0.7466	436.8132
0.7495	437.0113
0.7539	438.0695
0.7561	437.9247
0.7585	438.0372
0.7618	438.6806
0.7657	439.196
0.7687	439.4358
0.7717	439.9238
0.7754	440.673
0.7783	440.713
0.7821	441.4753
0.7859	441.8087
0.7885	441.6298
0.7915	442.0484
0.7955	442.6638
0.7992	443.0697
0.8023	443.097
0.806	443.7295
0.8096	444.3441
0.8128	444.5956
0.8175	445.2656
0.8205	445.018
0.8235	445.0275
0.8273	445.5397
0.8316	446.1838
0.8348	446.1906
0.8384	446.382
0.8429	447.1762
0.8461	447.1131
0.8503	447.7322
0.8548	448.2933
0.8577	447.8473
0.8612	448.208
0.8653	448.8217
0.8698	449.2626
0.873	449.1023
0.8771	449.4216
0.8814	449.6975
0.885	449.7086
0.8898	450.2943
0.8933	450.0789
0.8968	449.9877
0.9007	450.3927
0.9053	450.8168
0.9093	450.7263
0.9129	450.7935
0.9175	451.256
0.9215	451.1855
0.9258	451.4454
0.9306	451.7121
0.9338	451.3632
0.9375	451.4651
0.9421	452.2604
0.9468	452.8415
0.9503	452.4343
0.9543	452.7589
0.9594	453.3131
0.9635	453.2698
0.9685	454.0523
0.9723	453.4577
0.9759	453.1985
0.9801	453.6895
0.9849	454.2695
0.9891	454.2468
0.9929	454.2172
0.9977	454.4593
1.0022	454.5021
1.0072	454.8468
1.0121	454.9221
1.0156	454.4431
1.0193	454.4718
1.024	455.1069
1.029	455.345
1.0326	455.1044
1.0368	455.1887
1.0422	455.6823
1.0464	455.6181
1.0519	456.397
1.0558	455.4926
1.0597	455.3604
1.0637	455.5356
1.069	456.6236
1.0734	456.3189
1.0776	456.1874
1.0821	456.6415
1.0868	456.9342
1.0917	457.1998
1.0966	457.3354
1.1002	456.7844
1.1042	456.8074
1.1089	457.287
1.1143	457.4538
1.1182	457.3477
1.1226	457.3558
1.1281	457.636
1.1324	457.4824
1.138	457.7235
1.142	457.5029
1.1459	457.3814
1.1502	457.4153
1.1554	457.7089
1.1601	457.7327
1.1645	457.6736
1.1695	457.848
1.1742	457.8527
1.1789	457.9705
1.1845	458.4418
1.1882	457.7019
1.1924	457.6835
1.1971	457.9866
