MTS25	Tensile stress
0.6778	351.2134
0.6809	351.1906
0.6845	351.6704
0.6889	352.3636
0.6924	352.3312
0.696	352.4472
0.6999	353.1207
0.7035	353.0565
0.7077	353.9553
0.7122	354.3055
0.7151	353.5652
0.7185	353.8108
0.7228	354.7984
0.7271	354.9976
0.7305	354.9418
0.7343	355.0072
0.7386	355.0734
0.7421	355.0387
0.7472	355.8753
0.7507	355.2388
0.7539	355.1084
0.7577	355.525
0.7625	356.5944
0.7662	356.5822
0.77	356.6275
0.7744	357.4237
0.778	357.2667
0.7824	357.8125
0.7872	358.0981
0.7902	357.5495
0.7941	357.7079
0.7985	358.3554
0.8033	358.7656
0.8067	358.4434
0.8109	358.7512
0.8153	359.0754
0.8188	358.9326
0.8241	359.3875
0.8277	359.2061
0.8311	359.0588
0.8352	359.2372
0.8399	359.5388
0.8441	359.5024
0.8477	359.5004
0.8525	359.813
0.8565	359.6858
0.8606	360.0118
0.8658	360.3045
0.8691	359.7876
0.8728	359.8586
0.8773	360.3104
0.882	360.7516
0.8857	360.41
0.8899	360.7173
0.8945	361.0212
0.8981	360.7663
0.9035	361.5536
0.9073	361.1893
0.9108	360.769
0.915	361.1956
0.9199	361.8019
0.9242	361.7889
0.9282	361.697
0.9327	362.2068
0.9372	362.0583
0.9414	362.3446
0.9464	363.1044
0.9498	362.1271
0.9537	362.0991
0.9583	362.8918
0.9633	363.4066
0.9671	363.0174
0.9713	363.2061
0.9763	363.5055
0.9802	363.3665
0.985	363.5767
0.9893	363.5235
0.9928	363.3192
0.9969	363.5186
1.0019	363.6403
1.0064	363.6298
1.0103	363.5999
1.015	363.8209
1.0194	363.7557
1.0239	363.9018
1.029	364.344
1.0325	363.7041
1.0362	363.6605
1.041	364.1475
1.0462	364.9003
1.0497	364.1459
1.054	364.2481
1.059	365.1625
1.0631	364.9448
1.0682	365.4476
1.0726	365.1902
1.0759	364.5619
1.0802	364.9385
1.085	365.4681
1.0899	365.5108
1.0934	365.3013
1.098	365.5345
1.1029	365.7769
1.1076	365.8876
1.1126	365.988
1.1161	365.5271
1.1199	365.4878
1.1247	365.8473
1.1297	366.2273
1.1336	365.8802
1.1376	365.8692
1.1428	366.4363
1.1471	366.2856
1.1523	366.8458
1.1563	366.3521
1.1601	365.9261
1.1641	366.0396
1.1693	366.7161
1.174	366.7638
1.1778	366.4968
1.1821	366.6246
1.187	366.899
1.1914	366.9216
1.1966	367.1205
1.2003	366.8346
1.2041	366.7259
1.2086	366.928
1.214	367.203
1.2179	367.0609
1.2218	367.0385
1.2273	367.3633
1.2314	367.1646
1.2366	367.6627
1.2409	367.2801
1.2446	367.0723
1.2486	367.1194
1.2536	367.4311
1.2585	367.8351
1.2625	367.4716
1.2671	367.6349
1.2717	367.9258
1.2761	367.8469
1.2815	368.5396
1.2853	367.7235
1.2891	367.4855
1.2937	367.8822
1.2989	368.5194
1.303	368.1513
1.3073	368.0989
1.3123	368.6589
